Year	number	%of1893
2020	144	7.607
2021	132	6.973
2019	119	6.286
2022	108	5.705
2017	97	5.124
2018	95	5.018
2015	87	4.596
2016	86	4.543
2008	62	3.275
2010	60	3.170
2012	60	3.170
2014	59	3.117
2013	55	2.905
2000	51	2.694
2007	50	2.641
2006	49	2.588
2011	48	2.536
1998	47	2.483
2005	47	2.483
2001	44	2.324
2009	42	2.219
2003	39	2.060
1997	38	2.007
2002	37	1.955
1993	34	1.796
